#Position (bp)	mapping quality
3860412.5	35.86561091393395
1.15812365E7	39.53160354134241
1.93020605E7	36.18382760949434
2.70228845E7	41.151298051556765
3.47437085E7	41.77949199685443
4.24645325E7	41.369546090057426
5.01853565E7	41.18046300399095
5.79061805E7	41.80652337924458
6.56270045E7	41.7542922203236
7.33478285E7	41.84722743263982
8.10686525E7	40.740770437836964
8.87894765E7	41.41943338320325
9.65103005E7	41.81802581981926
1.042311245E8	39.86830976399688
1.119519485E8	40.9240449928488
1.196727725E8	29.34476626309397
1.273935965E8	8.04440564545558
1.351144205E8	0.0
1.428352445E8	7.30694510842402
1.505560685E8	29.105473927253293
1.582768925E8	39.08516657780132
1.659977165E8	41.58721679745891
1.737185405E8	41.82235254624849
1.814393645E8	41.79924492852711
1.891601885E8	41.87167407215831
1.968810125E8	41.46318215065738
2.046018365E8	39.83240710962632
2.123226605E8	41.75478203938468
2.200434845E8	41.510263595282446
2.277643085E8	39.035448533516075
2.354851325E8	41.64633359576741
2.432059565E8	40.24366927277265
2.480113955E8	36.40011440543633
2.518718075E8	41.65468074409518
2.586476045E8	41.705512836909044
2.663684285E8	41.86765121444239
2.740892525E8	41.83048389894753
2.818100765E8	41.82777081379301
2.895309005E8	41.7759105360092
2.972517245E8	41.85388743828475
3.049725485E8	41.85272023948219
3.126933725E8	41.81017624341603
3.204141965E8	41.39340421339236
3.281350205E8	41.71331680311461
3.358558445E8	27.27884662928542
3.435766685E8	25.025048791919957
3.512974925E8	41.652761052274094
3.590183165E8	31.76672656053795
3.667391405E8	41.8569686556971
3.744599645E8	41.7581321040247
3.821807885E8	34.460475191138435
3.899016125E8	41.79279492918716
3.976224365E8	41.56253867634065
4.053432605E8	41.77622025119833
4.130640845E8	41.55983717653839
4.207849085E8	41.78717158760836
4.285057325E8	41.730257458106685
4.362265565E8	41.802593559998705
4.439473805E8	41.8665429618085
4.516682045E8	41.750942796365706
4.593890285E8	41.841362620633944
4.671098525E8	41.81939179805257
4.748306765E8	41.84523111246354
4.825515005E8	41.37166336824443
4.88780932E8	40.884152092386316
4.92641344E8	40.89032626531857
4.979931485E8	41.68522314266201
5.057139725E8	41.49644326390364
5.134347965E8	41.815112593841135
5.211556205E8	41.77740917835629
5.288764445E8	41.74104794294632
5.365972685E8	41.645030412074114
5.443180925E8	41.74747812924476
5.520389165E8	41.85149555172936
5.597597405E8	41.86800649427525
5.674805645E8	39.59555701031964
5.752013885E8	41.83162151621207
5.829222125E8	40.111603814024335
5.906430365E8	40.57952189027596
5.983638605E8	41.842949045274594
6.060846845E8	41.73564384855445
6.138055085E8	40.8766424876566
6.215263325E8	41.04813865490289
6.292471565E8	41.801830618246704
6.369679805E8	41.82695755483176
6.446888045E8	41.745622648348466
6.524096285E8	41.82758441310521
6.601304525E8	41.80140506481399
6.678512765E8	41.77467186107085
6.755721005E8	41.72250702448308
6.832929245E8	40.77119106293449
6.882994235E8	37.00717061455527
6.921598355E8	40.17067675711452
6.987345725E8	36.02327083225397
7.064553965E8	41.832886718492404
7.141762205E8	41.77435006251378
7.218970445E8	41.53860618570345
7.296178685E8	41.821448439331725
7.373386925E8	36.758368911581144
7.450595165E8	41.78444455969796
7.527803405E8	41.80591292594901
7.605011645E8	40.66069562533389
7.682219885E8	41.736086560786326
7.759428125E8	41.80227423257231
7.836636365E8	41.871163901416914
7.913844605E8	41.595127118007966
7.991052845E8	41.715282301949415
8.068261085E8	40.351131804980916
8.145469325E8	41.82580670585205
8.222677565E8	40.906382527820845
8.299885805E8	40.98021694701664
8.377094045E8	41.84791952166484
8.454302285E8	41.79973232531698
8.531510525E8	41.53247815225132
8.608718765E8	41.75692594497079
8.685927005E8	41.87227302617802
8.76056589E8	38.66866267553551
8.79917001E8	37.84673181931913
8.840343485E8	41.13644575691999
8.917551725E8	41.85550402049485
8.994759965E8	37.06880893299143
9.071968205E8	41.71128925988809
9.149176445E8	40.109796063505904
9.226384685E8	41.79993968515915
9.303592925E8	40.96203008327157
9.380801165E8	41.67304490489947
9.458009405E8	39.27840486653446
9.535217645E8	34.956782286684096
9.612425885E8	41.75714955056325
9.689634125E8	41.637450857604875
9.766842365E8	41.0007046047996
9.844050605E8	41.87084435150451
9.921258845E8	41.76394666923208
9.998467085E8	41.811709757583984
1.0075675325E9	41.865476360400685
1.0152883565E9	41.8008218991801
1.0230091805E9	41.327642729043916
1.0307300045E9	41.79933710648446
1.0384508285E9	41.84369917664171
1.0461716525E9	41.849004760206896
1.0538924765E9	38.892453117691204
1.0594756065E9	39.3339266575888
1.0633360185E9	40.934629957965406
1.0693341245E9	41.61368194310332
1.0770549485E9	41.79577480082929
1.0847757725E9	39.68474829401288
1.0924965965E9	39.86067127378662
1.1002174205E9	41.80602124004171
1.1079382445E9	41.743025620347225
1.1156590685E9	39.07748578307694
1.1233798925E9	38.37190879993871
1.1311007165E9	41.789358952022624
1.1388215405E9	41.81143016868576
1.1465423645E9	41.84759914285241
1.1542631885E9	41.85742401841598
1.1619840125E9	41.867659565640125
1.1697048365E9	41.70642190031257
1.1774256605E9	41.78343108873916
1.1851464845E9	41.85586265442937
1.1928673085E9	41.7218928665584
1.2005881325E9	41.832586321806474
1.2083089565E9	41.623729223324595
1.2160297805E9	41.751756203098914
1.2237506045E9	40.66949562627748
1.22980766E9	40.32007205542875
1.233668072E9	41.20301640244586
1.2391922525E9	40.51089573589882
1.2469130765E9	41.86056167437834
1.2546339005E9	41.580558416610714
1.2623547245E9	41.05236042906155
1.2700755485E9	40.385139605346616
1.2777963725E9	40.78119228518882
1.2855171965E9	38.537591942529154
1.2932380205E9	18.95566338520256
1.3009588445E9	37.27197199930155
1.3086796685E9	34.741073342414246
1.3164004925E9	41.8461466310212
1.3241213165E9	41.612169302433216
1.3318421405E9	38.74545403120274
1.3395629645E9	41.78271543479247
1.3472837885E9	41.73420638586564
1.3550046125E9	41.786541601611944
1.3627254365E9	41.1481639410876
1.3704462605E9	41.69327255655763
1.3781670845E9	37.33133447551608
1.3858879085E9	38.77813385426459
1.3905492985E9	41.6288622395837
1.3944097105E9	39.55654812091928
1.4013295565E9	33.30859548141605
1.4090503805E9	41.810889657645106
1.4167712045E9	41.742678990286244
1.4244920285E9	41.721317585224384
1.4322128525E9	41.7334609003909
1.4399336765E9	41.57326892170586
1.4476545005E9	41.631503160467744
1.4553753245E9	41.78199364847994
1.4630961485E9	41.742246874398475
1.4708169725E9	41.78028428893597
1.4785377965E9	37.92721308469948
1.4862586205E9	41.829874885235284
1.4939794445E9	41.82090894373515
1.5017002685E9	41.85128367238423
1.5094210925E9	41.86330631213551
1.5171419165E9	41.80949275377903
1.5248627405E9	41.84851605009667
1.5325835645E9	41.59757790642106
1.5364664445E9	0.0
1.5403268565E9	40.32845066329871
1.5480252125E9	41.80175065437093
1.5557460365E9	41.61839086650784
1.5634668605E9	41.83102447638069
1.5711876845E9	40.679349116963586
1.5789085085E9	9.028792908524526
1.5866293325E9	0.0
1.5943501565E9	6.390234566499953
1.6020709805E9	10.873540978650512
1.6097918045E9	41.69283962604221
1.6175126285E9	41.15706462833721
1.6252334525E9	40.89972332815346
1.6329542765E9	40.110600510059875
1.6406751005E9	41.72773430372391
1.6483959245E9	41.15304168001711
1.6561167485E9	41.83273951845407
1.6638375725E9	41.71270633509705
1.671290807E9	40.862517603242765
1.675151219E9	38.96821226582471
1.6792792205E9	41.6468676409779
1.6870000445E9	41.77103325477645
1.6947208685E9	41.69769589314469
1.7024416925E9	40.62468470279918
1.7101625165E9	38.27516167759692
1.7178833405E9	22.31493289741373
1.7256041645E9	36.28633880228814
1.7333249885E9	41.56119283702753
1.7410458125E9	41.77893998197402
1.7487666365E9	41.47236515903628
1.7564874605E9	39.980338057248005
1.7642082845E9	40.350616106714995
1.7719291085E9	41.64099366961188
1.7796499325E9	41.846907868726504
1.7873707565E9	41.872591374821546
1.7950915805E9	41.635414616795195
1.8028124045E9	41.48377992871254
1.807676934E9	35.29190926681079
1.811537346E9	39.52978667679249
1.8182540525E9	41.723884227156304
1.8259748765E9	41.53997214971239
1.8336957005E9	41.8085820388974
1.8414165245E9	41.83440405044097
1.8491373485E9	41.83657511850343
1.8568581725E9	36.09000609939989
1.8645789965E9	39.36081347652343
1.8722998205E9	41.24648802347628
1.8800206445E9	39.99816012890727
1.8877414685E9	41.385620634013634
1.8954622925E9	36.9936863426792
1.9031831165E9	41.78560353554128
1.9109039405E9	41.65716094673089
1.9186247645E9	41.73816561570943
1.9263455885E9	41.73459173489482
1.9340664125E9	41.70589996566583
1.940847249E9	41.59748332734292
1.944707661E9	40.63156183671261
1.9495080605E9	39.651395290438046
1.9572288845E9	41.30164826840242
1.9649497085E9	41.78507999851973
1.9726705325E9	40.67226348713411
1.9803913565E9	39.64705377442443
1.9881121805E9	41.781751534539666
1.9958330045E9	41.31186378344208
2.0035538285E9	41.51145843217968
2.0112746525E9	41.46854559445941
2.0189954765E9	41.872538158596434
2.0267163005E9	41.87062178440792
2.0344371245E9	41.72720770271958
2.0421579485E9	41.347741010820876
2.0498787725E9	41.727977355451664
2.0575995965E9	41.792877367182626
2.0653204205E9	41.6467110540046
2.0730412445E9	41.04573419881938
2.0769723195E9	39.1371310038499
2.0808327315E9	0.0
2.0884828925E9	0.0
2.0962037165E9	34.53018714074071
2.1039245405E9	40.89745394437976
2.1116453645E9	41.73735103295384
2.1193661885E9	41.577689102812265
2.1270870125E9	40.68750978323228
2.1348078365E9	41.215389064415845
2.1425286605E9	41.175343728972216
2.1502494845E9	41.84387719024494
2.1579703085E9	41.86190959054337
2.1656911325E9	41.59054738363063
2.1734119565E9	41.71098996992037
2.1811327805E9	41.8575024650337
2.1882002515E9	41.35948919875606
2.1920606635E9	0.0
2.1965744285E9	0.0
2.2042952525E9	3.6310511428007572
2.2120160765E9	30.170137436289508
2.2197369005E9	41.44895998075865
2.2274577245E9	41.49820490546349
2.2351785485E9	41.8480669539376
2.2428993725E9	41.69663360246436
2.2506201965E9	41.822410535581135
2.2583410205E9	41.64263559170449
2.2660618445E9	41.74046358766422
2.2737826685E9	41.85027396822232
2.2815034925E9	41.76825566388942
2.2892243165E9	41.7971509155721
2.2957678785E9	37.67251565384927
2.2996282905E9	0.0
2.3046659645E9	0.0
2.3123867885E9	0.0
2.3201076125E9	12.83309325862351
2.3278284365E9	32.1738708387403
2.3355492605E9	40.9265383411952
2.3432700845E9	39.77656373487648
2.3509909085E9	41.65856371122104
2.3587117325E9	41.7524611276635
2.3664325565E9	41.789856233384306
2.3741533805E9	38.493606648618055
2.3818742045E9	36.349062489307585
2.3895950285E9	41.75097573031109
2.396948829E9	40.79171699920346
2.400809241E9	39.76547913259656
2.4050366765E9	40.36769232215579
2.4127575005E9	37.89390710307588
2.4204783245E9	30.60393970318932
2.4281991485E9	34.91014993903148
2.4359199725E9	15.383170832593823
2.4436407965E9	23.127475890099866
2.4513616205E9	41.728269477803636
2.4590824445E9	41.51861569070815
2.4668032685E9	40.84745165260483
2.4745240925E9	39.31853966086289
2.4822449165E9	41.801954212921416
2.4884429455E9	39.05016266904554
2.4923033575E9	41.279411805746314
2.4976865645E9	41.231342438517196
2.5054073885E9	38.58438265509938
2.5131282125E9	26.925496027557234
2.5208490365E9	38.491164358283775
2.5285698605E9	38.0386789762818
2.5362906845E9	38.749437455201196
2.5440115085E9	41.77832876106596
2.5517323325E9	39.81384141720596
2.5594531565E9	40.95256706006804
2.5671739805E9	41.710470671478085
2.572536198E9	41.53922812313923
2.57639661E9	40.813008627481935
2.5826156285E9	41.11890058735836
2.5903364525E9	30.68652536278992
2.5980572765E9	41.68036018192019
2.6057781005E9	41.84640218522129
2.6134989245E9	41.89605557720372
2.6212197485E9	41.06182213616104
2.6289405725E9	41.87264467050927
2.6366613965E9	41.687682999696285
2.6443822205E9	41.859662593213265
2.6513269605E9	41.85212869408238
2.6551873725E9	36.6490515948449
2.6598238685E9	40.207546366012046
2.6675446925E9	40.91301108916151
2.6752655165E9	39.885835858393946
2.6829863405E9	41.780623788403894
2.6907071645E9	39.76782811524905
2.6984279885E9	38.61664906960779
2.7061488125E9	38.45327377409314
2.7115190645E9	40.165031456744835
2.7153794765E9	41.5702964113589
2.7215904605E9	41.76738976311159
2.7293112845E9	41.809911407746796
2.7370321085E9	39.3828937801889
2.7447529325E9	30.478413759844315
2.7524737565E9	41.764663188902325
2.7601945805E9	41.10597941497573
2.7679154045E9	41.66274038538101
2.774624444E9	41.560462767387996
2.778484856E9	0.0
2.7833570525E9	6.146833426430683
2.7910778765E9	31.66759749175442
2.7987987005E9	41.8113700370427
2.8065195245E9	41.190503864802906
2.8142403485E9	41.57135927803823
2.8211419075E9	39.999368954989606
2.8250023195E9	0.0
2.8296819965E9	0.0
2.8374028205E9	10.909326868775981
2.8451236445E9	34.52877236627916
2.8528444685E9	40.89148093674754
2.8605652925E9	41.32807402786843
2.8682861165E9	41.19987972042697
2.8735740255E9	41.20272712807559
2.8774344375E9	38.957773613890204
2.8837277645E9	40.76321605898755
2.8914485885E9	41.59359628285801
2.8991694125E9	41.59547433794024
2.9068902365E9	41.78481034877427
2.9146110605E9	41.4425310269082
2.9223318845E9	38.451352083262236
2.9300527085E9	34.098223480495356
2.9377735325E9	41.164410447024935
2.9454943565E9	38.75946450581065
2.9532151805E9	41.322059012754345
2.9609360045E9	40.20248489131471
2.9686568285E9	32.93859542041921
2.9763776525E9	39.31306867239288
2.9840984765E9	41.57444588952567
2.9918193005E9	38.41199471422299
2.9995401245E9	41.24643114555628
3.0072609485E9	40.45584325248058
3.0149817725E9	40.76392360554503
3.0227025965E9	39.32570287427068
3.028802713E9	35.70326218982581
3.032663125E9	13.302329986739913
3.0381442445E9	11.37542902845915
3.0458650685E9	6.516016926170582
3.0535858925E9	4.689456203307125
3.0613067165E9	8.079351345316512
3.0690275405E9	0.0
3.0767483645E9	0.0
3.0844393045E9	15.390524332222236
3.088278117E9	26.647020094899496
3.088307901E9	27.60735299365963
