#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	1.8542967764904839E-6
8.0	1.2361978509936558E-6
9.0	1.0301648758280466E-6
10.0	4.120659503312186E-7
11.0	4.120659503312186E-7
12.0	2.060329751656093E-7
13.0	1.0301648758280466E-6
14.0	2.266362726821702E-6
15.0	8.24131900662437E-6
16.0	1.8130901814573617E-5
17.0	4.120659503312186E-5
18.0	9.910186105465807E-5
19.0	2.0067611781130344E-4
20.0	4.4770965503486903E-4
21.0	8.921227824670884E-4
22.0	0.0016878221325566716
23.0	0.0029365879950354295
24.0	0.00479809592565671
25.0	0.008417683233366134
26.0	0.010037926550068486
27.0	0.015212444721352764
28.0	0.01987970970777931
29.0	0.02480760640779035
30.0	0.029942154181892503
31.0	0.034363827861921645
32.0	0.03828545951122385
33.0	0.041808005287630276
34.0	0.04431542659539574
35.0	0.04581555268757655
36.0	0.04780315279899918
37.0	0.04749513350112658
38.0	0.04574344114626858
39.0	0.04343463562656276
40.0	0.040301080107269
41.0	0.03703731174767059
42.0	0.03399585296827587
43.0	0.031135909240002042
44.0	0.028783218696585948
45.0	0.026642330051640104
46.0	0.02472148462417113
47.0	0.02277323681100513
48.0	0.02107058030423653
49.0	0.019600741059405076
50.0	0.018225264917199467
51.0	0.01854420396275583
52.0	0.01424635610080122
53.0	0.01472682499888742
54.0	0.013910110285330946
55.0	0.01304374162475956
56.0	0.01230367117796469
57.0	0.011565248994971147
58.0	0.010931491563361734
59.0	0.010267241251427809
60.0	0.009482461649022004
61.0	0.00874115500437614
62.0	0.007935978137428938
63.0	0.007091448972225107
64.0	0.006166566946706687
65.0	0.0053372842216651084
66.0	0.004435477889365237
67.0	0.003551596425904773
68.0	0.002878280663063562
69.0	0.002286553958387932
70.0	0.0017801249054308645
71.0	0.001422245627568201
72.0	0.001136477891013501
73.0	9.658825875763764E-4
74.0	8.564790777634379E-4
75.0	7.083413686193648E-4
76.0	6.148023978941781E-4
77.0	4.996299647766025E-4
78.0	4.343175116491044E-4
79.0	3.4531126637756123E-4
80.0	2.5300849350336826E-4
81.0	1.833693478973923E-4
82.0	1.442230826159265E-4
83.0	9.7041531303002E-5
84.0	7.829253056293154E-5
85.0	5.954352982286108E-5
86.0	4.779965023842137E-5
87.0	3.626180362914724E-5
88.0	3.2141144125835055E-5
89.0	2.369379214404507E-5
90.0	1.77188358642424E-5
91.0	1.4628341236758262E-5
92.0	1.0095615783114857E-5
93.0	3.09049462748414E-6
94.0	1.6482638013248744E-6
95.0	6.180989254968279E-7
96.0	0.0
97.0	2.060329751656093E-7
98.0	0.0
99.0	0.0
100.0	0.0
