#Position (bp)	insert size
3860412.5	288.72390658174095
1.15812365E7	287.2433266635446
1.93020605E7	285.7811717677461
2.70228845E7	284.4184704948399
3.47437085E7	286.3351972442431
4.24645325E7	287.1422718118475
5.01853565E7	286.30111721936515
5.79061805E7	285.9590037024571
6.56270045E7	288.36890193484373
7.33478285E7	289.7501890325136
8.10686525E7	290.8731005962685
8.87894765E7	289.79552076071997
9.65103005E7	289.66753912427066
1.042311245E8	290.4265732993816
1.119519485E8	288.5640724782642
1.196727725E8	289.2122367145501
1.273935965E8	296.41745459214644
1.351144205E8	0.0
1.428352445E8	298.3140849902684
1.505560685E8	289.39795795939915
1.582768925E8	288.1956321096472
1.659977165E8	288.4220770399279
1.737185405E8	288.889794748906
1.814393645E8	288.4733231994573
1.891601885E8	290.4374004001965
1.968810125E8	290.4091124260355
2.046018365E8	288.6248146584846
2.123226605E8	289.221094517936
2.200434845E8	290.1788989273509
2.277643085E8	288.1018991004261
2.354851325E8	288.8418306047403
2.432059565E8	288.3746310112472
2.480113955E8	290.25451233647954
2.518718075E8	290.0008118071359
2.586476045E8	288.5214326796206
2.663684285E8	288.63187444324626
2.740892525E8	288.1087380068375
2.818100765E8	288.59158687804114
2.895309005E8	288.13597692512786
2.972517245E8	289.0239479295253
3.049725485E8	290.6702626962247
3.126933725E8	289.12872585547603
3.204141965E8	287.89550890864285
3.281350205E8	289.5786402496947
3.358558445E8	289.374384009048
3.435766685E8	289.95270647989906
3.512974925E8	290.10570180799874
3.590183165E8	288.5159343948282
3.667391405E8	288.3900717999505
3.744599645E8	287.8710270406803
3.821807885E8	289.57967556719996
3.899016125E8	290.8840899979466
3.976224365E8	290.35637267869424
4.053432605E8	290.43306006242926
4.130640845E8	291.04234463052626
4.207849085E8	289.53543232638395
4.285057325E8	290.8695691229751
4.362265565E8	290.3977953510664
4.439473805E8	290.4626880564086
4.516682045E8	288.8901560483398
4.593890285E8	290.4604443284507
4.671098525E8	289.00995909846193
4.748306765E8	288.47155679356234
4.825515005E8	288.0997620425751
4.88780932E8	288.6999700867484
4.92641344E8	289.96846217105264
4.979931485E8	288.152687387223
5.057139725E8	286.90194186714837
5.134347965E8	289.76828272617706
5.211556205E8	288.7503268236761
5.288764445E8	288.74710842178354
5.365972685E8	287.7145324040362
5.443180925E8	288.84959470146305
5.520389165E8	287.9889975783231
5.597597405E8	289.3398766425315
5.674805645E8	290.7819736373352
5.752013885E8	291.39812251975854
5.829222125E8	291.6838934498848
5.906430365E8	290.9735479765406
5.983638605E8	290.7140044625279
6.060846845E8	289.96699096024804
6.138055085E8	287.23427183256507
6.215263325E8	287.15520427429396
6.292471565E8	287.7228361941814
6.369679805E8	290.22840907151755
6.446888045E8	289.5551585445702
6.524096285E8	289.67914049333535
6.601304525E8	290.76095372912863
6.678512765E8	289.9116166062185
6.755721005E8	287.62432319866724
6.832929245E8	288.799396653488
6.882994235E8	287.177894380501
6.921598355E8	288.3295286016949
6.987345725E8	288.2088523442967
7.064553965E8	287.6235948166619
7.141762205E8	287.98727663424563
7.218970445E8	291.1734626875472
7.296178685E8	287.904105786959
7.373386925E8	289.22449232907996
7.450595165E8	288.8959395959677
7.527803405E8	291.59715331713824
7.605011645E8	289.6776233098457
7.682219885E8	289.36915576822753
7.759428125E8	289.48285698711777
7.836636365E8	290.57580647930365
7.913844605E8	289.8452085215297
7.991052845E8	290.2203160858738
8.068261085E8	290.31052221097525
8.145469325E8	290.1238765286577
8.222677565E8	291.3398630895995
8.299885805E8	290.4969555752092
8.377094045E8	289.7579469183333
8.454302285E8	290.56981373175404
8.531510525E8	290.5495673585462
8.608718765E8	290.39408188222325
8.685927005E8	290.90619874870924
8.76056589E8	288.7711873444721
8.79917001E8	290.67477876106193
8.840343485E8	290.20359037720766
8.917551725E8	289.42777109468983
8.994759965E8	290.1180285112008
9.071968205E8	290.3730598970097
9.149176445E8	288.74542560321714
9.226384685E8	290.5316265343333
