#Coverage (X)	Coverage
1.0	36.593037258266556
2.0	30.380640776207358
3.0	24.33674636520314
4.0	18.670658641529627
5.0	13.645270643733795
6.0	9.511036484644421
7.0	6.342920415160378
8.0	4.0673603340369056
9.0	2.520837414558173
10.0	1.5200366903867177
11.0	0.8988675884120454
12.0	0.5263767524280354
13.0	0.31004646071757236
14.0	0.18734640158527327
15.0	0.11895437708166412
16.0	0.08098261798109263
17.0	0.05967083692561914
18.0	0.04714710807726874
19.0	0.03938546840242907
20.0	0.034139169222044075
21.0	0.03031639047311785
22.0	0.027364762321013814
23.0	0.024970684798063303
24.0	0.022971804756309666
25.0	0.021227398864894553
26.0	0.01972445037759485
27.0	0.018446672171677392
28.0	0.017337593586987055
29.0	0.016356124447071352
30.0	0.015507834106017526
31.0	0.014728707371673977
32.0	0.014007864575560802
33.0	0.013360491921588391
34.0	0.012765574812036107
35.0	0.01224237932648009
36.0	0.011761633975936547
37.0	0.011328195755254455
38.0	0.010918621569288689
39.0	0.010546737663375438
40.0	0.010205226165282966
41.0	0.009901663986980225
42.0	0.009622678202632073
43.0	0.009365548895118536
44.0	0.009126487608455136
45.0	0.008915758791772532
46.0	0.008728116890623028
47.0	0.008547080502466997
48.0	0.008374009585878639
49.0	0.008208159401632997
50.0	0.008054095524897775
51.0	0.00791019895738998
