#Insert size (bp)	insert size
443.0	9221.0
444.0	9054.0
445.0	8922.0
446.0	8976.0
447.0	8767.0
448.0	8730.0
449.0	8578.0
450.0	8616.0
451.0	8352.0
452.0	8176.0
453.0	8228.0
454.0	8002.0
455.0	7959.0
456.0	7795.0
457.0	7914.0
458.0	7609.0
459.0	7765.0
460.0	7578.0
461.0	7364.0
462.0	7218.0
463.0	7262.0
464.0	7061.0
465.0	6988.0
466.0	6936.0
467.0	6749.0
468.0	6630.0
469.0	6785.0
470.0	6547.0
471.0	6477.0
472.0	6471.0
473.0	6210.0
474.0	6191.0
475.0	6273.0
476.0	6085.0
477.0	6008.0
478.0	5990.0
479.0	5880.0
480.0	5763.0
481.0	5799.0
482.0	5530.0
483.0	5709.0
484.0	5472.0
485.0	5342.0
486.0	5445.0
487.0	5274.0
488.0	5346.0
489.0	5216.0
490.0	4938.0
491.0	5013.0
492.0	4924.0
493.0	4992.0
494.0	4746.0
495.0	4708.0
496.0	4556.0
497.0	4661.0
498.0	4525.0
499.0	4547.0
500.0	4544.0
