#Insert size (bp)	insert size
445.0	10775.0
446.0	10369.0
447.0	10132.0
448.0	9917.0
449.0	9871.0
450.0	9620.0
451.0	9538.0
452.0	9224.0
453.0	9108.0
454.0	9132.0
455.0	9126.0
456.0	8803.0
457.0	8851.0
458.0	8791.0
459.0	8606.0
460.0	8658.0
461.0	8419.0
462.0	8303.0
463.0	8334.0
464.0	8041.0
465.0	8185.0
466.0	8130.0
467.0	8080.0
468.0	7878.0
469.0	7822.0
470.0	7912.0
471.0	7610.0
472.0	7631.0
473.0	7501.0
474.0	7414.0
475.0	7176.0
476.0	7401.0
477.0	7174.0
478.0	7197.0
479.0	6997.0
480.0	7093.0
481.0	6853.0
482.0	6970.0
483.0	6859.0
484.0	6724.0
485.0	6763.0
486.0	6819.0
487.0	6534.0
488.0	6404.0
489.0	6318.0
490.0	6249.0
491.0	6358.0
492.0	6135.0
493.0	6094.0
494.0	6025.0
495.0	6126.0
496.0	5884.0
497.0	5916.0
498.0	5746.0
499.0	5799.0
500.0	5817.0
