#Position (bp)	insert size
3860412.5	309.2010730007337
1.15812365E7	307.49375619871967
1.93020605E7	306.6015698194916
2.70228845E7	304.58020084508587
3.47437085E7	306.29184003986546
4.24645325E7	307.8555547637711
5.01853565E7	306.3025493302607
5.79061805E7	306.3502704474676
6.56270045E7	308.1417245297311
7.33478285E7	311.2657306777368
8.10686525E7	311.54277205136873
8.87894765E7	309.78651444727655
9.65103005E7	310.54064157954826
1.042311245E8	310.93193434935523
1.119519485E8	309.03340898180073
1.196727725E8	309.33454728117545
1.273935965E8	315.8941074050301
1.351144205E8	0.0
1.428352445E8	318.84888363738736
1.505560685E8	309.42499904603216
1.582768925E8	308.5701352824261
1.659977165E8	308.3319777461978
1.737185405E8	309.33742164946807
1.814393645E8	308.9500586932941
1.891601885E8	311.49123049090855
1.968810125E8	310.7606676475998
2.046018365E8	308.36464571455946
2.123226605E8	309.71960484127214
2.200434845E8	310.41716619367344
2.277643085E8	307.92489207014387
2.354851325E8	308.5670103092784
2.432059565E8	309.0800371648527
2.480113955E8	310.44797646383466
2.518718075E8	310.5061422542671
2.586476045E8	308.5001729218255
2.663684285E8	309.18717428190524
2.740892525E8	308.49909018223923
2.818100765E8	309.5804165530953
2.895309005E8	309.27921289630444
2.972517245E8	310.1986519174843
3.049725485E8	311.32895686048187
3.126933725E8	309.94557785001683
3.204141965E8	308.5245218384242
3.281350205E8	310.567584626117
3.358558445E8	310.47420935041146
3.435766685E8	310.1833957373272
3.512974925E8	310.4505576905052
3.590183165E8	308.88193674280177
3.667391405E8	309.46576460615955
3.744599645E8	308.8094080640549
3.821807885E8	310.0124623447365
3.899016125E8	312.05009410742724
3.976224365E8	310.9128909437041
4.053432605E8	311.0362501465244
4.130640845E8	312.26214160327675
4.207849085E8	310.2807936792466
4.285057325E8	311.3398871516989
4.362265565E8	311.4121535902568
4.439473805E8	311.5723593461098
4.516682045E8	309.52513071467064
4.593890285E8	310.9253126796026
4.671098525E8	309.2917559594677
4.748306765E8	309.57641062326746
4.825515005E8	309.15382436642705
4.88780932E8	309.35014318390574
4.92641344E8	310.70831455610636
4.979931485E8	307.55031769305964
5.057139725E8	307.7234154486608
5.134347965E8	310.169680014797
5.211556205E8	309.0849050102226
5.288764445E8	308.95825818699575
5.365972685E8	308.10713746467934
5.443180925E8	309.9303274401088
5.520389165E8	309.03789104331383
5.597597405E8	309.3114103412219
5.674805645E8	311.2973089707236
5.752013885E8	312.1193748614498
5.829222125E8	311.40042412996553
5.906430365E8	311.0593042517946
5.983638605E8	311.0927465629904
6.060846845E8	311.04204285136774
6.138055085E8	309.17842857799644
6.215263325E8	308.0890784068584
6.292471565E8	307.8080150498775
6.369679805E8	311.33933964783955
6.446888045E8	310.41192828559156
6.524096285E8	311.082785128243
6.601304525E8	310.9843437291528
6.678512765E8	310.8568662363677
6.755721005E8	308.6718590398366
6.832929245E8	309.52465456206465
6.882994235E8	307.3823686553874
6.921598355E8	308.5706835990273
6.987345725E8	307.60788877574345
7.064553965E8	308.75806977502447
7.141762205E8	309.13739714689126
7.218970445E8	312.3551065409626
7.296178685E8	308.73106937871313
7.373386925E8	310.0823929961089
7.450595165E8	310.2081916577984
7.527803405E8	312.0029428803151
7.605011645E8	310.6866960264736
7.682219885E8	310.3493825195024
7.759428125E8	310.16636041769374
7.836636365E8	311.66425675675674
7.913844605E8	311.0783333745701
7.991052845E8	311.6561158574703
8.068261085E8	311.3529590617874
8.145469325E8	311.2130718666872
8.222677565E8	311.68196697283565
8.299885805E8	310.8346532985087
8.377094045E8	311.2594686866532
8.454302285E8	310.38243924615637
8.531510525E8	311.8784778273668
8.608718765E8	311.0918509073522
8.685927005E8	311.35923454367025
8.76056589E8	310.07187790255847
8.79917001E8	311.4288429555714
8.840343485E8	311.5886636905732
8.917551725E8	310.3411811257295
8.994759965E8	311.61195054945057
9.071968205E8	311.6818746274588
9.149176445E8	310.0931114340205
9.226384685E8	310.54839943884707
9.303592925E8	311.7382736096247
9.380801165E8	310.640921900161
9.458009405E8	310.6572399228721
9.535217645E8	309.37401574803147
9.612425885E8	311.06862850623213
9.689634125E8	312.4771717330607
9.766842365E8	311.7861617136637
9.844050605E8	312.02657898881716
9.921258845E8	310.191097467383
9.998467085E8	311.07667529980193
1.0075675325E9	310.56477434940155
1.0152883565E9	309.1407072256636
1.0230091805E9	309.61515566785147
1.0307300045E9	306.04999305266085
1.0384508285E9	308.16087341706185
1.0461716525E9	309.8047763860239
1.0538924765E9	305.5223829563388
1.0594756065E9	307.93984530155745
1.0633360185E9	309.1561340551061
1.0693341245E9	310.1151648169621
1.0770549485E9	308.5652248467441
1.0847757725E9	309.9751588062032
1.0924965965E9	307.973561262794
1.1002174205E9	307.6116904097518
1.1079382445E9	310.2331931898597
1.1156590685E9	311.2998113970093
1.1233798925E9	311.60711433591166
1.1311007165E9	311.05945585406715
1.1388215405E9	310.78204685573365
1.1465423645E9	309.6014517915902
1.1542631885E9	312.1876948248868
1.1619840125E9	312.0115907730033
1.1697048365E9	309.16933731477195
