#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	2.2128506630684075E-6
8.0	2.212850663068408E-6
9.0	1.2293614794824485E-6
10.0	7.376168876894692E-7
11.0	4.917445917929795E-7
12.0	7.376168876894692E-7
13.0	9.83489183585959E-7
14.0	2.4587229589648975E-6
15.0	4.179829030240326E-6
16.0	1.4260593161996404E-5
17.0	3.2209270762440154E-5
18.0	6.687726448384522E-5
19.0	1.369508688143448E-4
20.0	3.0291466854447536E-4
21.0	6.001742742833315E-4
22.0	0.0012551780705515802
23.0	0.002262762739135395
24.0	0.003919204396590046
25.0	0.007194715122523081
26.0	0.00879190155666668
27.0	0.013728771385972297
28.0	0.018563358340184972
29.0	0.023687582858963715
30.0	0.02874173377341196
31.0	0.03362967501583418
32.0	0.03779475170832071
33.0	0.04156864557803593
34.0	0.04427938764029473
35.0	0.0458859172216824
36.0	0.047388442821905845
37.0	0.04736311797542851
38.0	0.045803058257965275
39.0	0.043111494234786406
40.0	0.04007792184801552
41.0	0.03678446244448204
42.0	0.03386325369693584
43.0	0.030972041369489015
44.0	0.02844545765685669
45.0	0.026417257088006546
46.0	0.02447265309976121
47.0	0.022745154348792474
48.0	0.02110838247500954
49.0	0.01963413218881419
50.0	0.018443126787491593
51.0	0.018988225667494106
52.0	0.014546050897532227
53.0	0.015275062254865322
54.0	0.01446589652906997
55.0	0.013793435799793075
56.0	0.01302533074741244
57.0	0.012325332320995136
58.0	0.011802116075327405
59.0	0.011089578161819377
60.0	0.01044219640672392
61.0	0.009562219459710381
62.0	0.008869597202169972
63.0	0.007868405213279464
64.0	0.006949826315810179
65.0	0.006000021636762039
66.0	0.004939082679968685
67.0	0.004045828628976738
68.0	0.0032676428124643487
69.0	0.002573545321148558
70.0	0.002019840910789663
71.0	0.0016134140056727655
72.0	0.0012903378088647782
73.0	0.0010828215911281409
74.0	9.276761724174557E-4
75.0	8.091657257953478E-4
76.0	6.81803876520966E-4
77.0	6.136972505576384E-4
78.0	5.005959944452531E-4
79.0	3.7913508027238716E-4
80.0	2.807861619137913E-4
81.0	2.1071255758329168E-4
82.0	1.6645554432192359E-4
83.0	1.2244440335645187E-4
84.0	9.195623866528714E-5
85.0	6.933598744281011E-5
86.0	4.30276517818857E-5
87.0	4.843684229160847E-5
88.0	3.7864333568059407E-5
89.0	2.4833101885545462E-5
90.0	2.0407400559408646E-5
91.0	1.4752337753789384E-5
92.0	1.1310125611238528E-5
93.0	4.425701326136816E-6
94.0	1.7211060712754282E-6
95.0	7.376168876894692E-7
96.0	4.917445917929795E-7
97.0	2.4587229589648975E-7
98.0	0.0
99.0	0.0
100.0	0.0
