#Position (bp)	mapping quality
3860412.5	37.14074929889896
1.15812365E7	39.68140078592662
1.93020605E7	36.09510513933983
2.70228845E7	41.13909459792807
3.47437085E7	41.76340668878001
4.24645325E7	41.37349004027665
5.01853565E7	41.164044650527934
5.79061805E7	41.78185497376696
6.56270045E7	41.71863695765484
7.33478285E7	41.84090924160343
8.10686525E7	40.758435439407755
8.87894765E7	41.38205046660463
9.65103005E7	41.795377768125135
1.042311245E8	39.970198529457356
1.119519485E8	40.96967785371594
1.196727725E8	29.049165165810887
1.273935965E8	7.956819544561302
1.351144205E8	0.0
1.428352445E8	7.345426013089851
1.505560685E8	29.165164823650414
1.582768925E8	39.10052738014278
1.659977165E8	41.56109883822236
1.737185405E8	41.81564020057876
1.814393645E8	41.78571520648439
1.891601885E8	41.84452065629834
1.968810125E8	41.4588931969269
2.046018365E8	39.75320045149962
2.123226605E8	41.72916207780459
2.200434845E8	41.48164322406585
2.277643085E8	38.81523549331237
2.354851325E8	41.62390428791975
2.432059565E8	40.232070178278434
2.480113955E8	36.53682554286829
2.518718075E8	41.65313534813193
2.586476045E8	41.699170393821845
2.663684285E8	41.85256621107249
2.740892525E8	41.80299492184381
2.818100765E8	41.80926890151757
2.895309005E8	41.78030780240002
2.972517245E8	41.81815031415655
3.049725485E8	41.84135154168439
3.126933725E8	41.798018814295524
3.204141965E8	41.35203212573943
3.281350205E8	41.708432934068625
3.358558445E8	27.190262767335142
3.435766685E8	25.44229434104938
3.512974925E8	41.63669200892405
3.590183165E8	31.577480017801637
3.667391405E8	41.833908261233304
3.744599645E8	41.73109352571614
3.821807885E8	33.961138744467526
3.899016125E8	41.77415983198937
3.976224365E8	41.55273336155708
4.053432605E8	41.737309401775114
4.130640845E8	41.54205047228233
4.207849085E8	41.76821325243851
4.285057325E8	41.719999764457064
4.362265565E8	41.78779736949973
4.439473805E8	41.85554652419633
4.516682045E8	41.72328776276917
4.593890285E8	41.82378378976183
4.671098525E8	41.8160026401254
4.748306765E8	41.82604992501014
4.825515005E8	41.37671460546772
4.88780932E8	40.862841153818295
4.92641344E8	40.74985753961073
4.979931485E8	41.61412572614644
5.057139725E8	41.502312355477784
5.134347965E8	41.80746597553999
5.211556205E8	41.75040635942761
5.288764445E8	41.736374864166656
5.365972685E8	41.63588109181938
5.443180925E8	41.71742757210276
5.520389165E8	41.845078258403234
5.597597405E8	41.83840107436429
5.674805645E8	39.486316362653476
5.752013885E8	41.829804991424716
5.829222125E8	40.1662357440312
5.906430365E8	41.043204201016934
5.983638605E8	41.83530306749727
6.060846845E8	41.75926688599004
6.138055085E8	40.86791903382464
6.215263325E8	41.04068069055157
6.292471565E8	41.7651221432137
6.369679805E8	41.80961761557703
6.446888045E8	41.755347181678445
6.524096285E8	41.80756313658793
6.601304525E8	41.788280758427504
6.678512765E8	41.744077749768664
6.755721005E8	41.67731274982515
6.832929245E8	40.57506148181864
6.882994235E8	37.203648345826636
6.921598355E8	40.22194173833427
6.987345725E8	36.13156010784402
7.064553965E8	41.82288913299084
7.141762205E8	41.7226161204599
7.218970445E8	41.514755186375545
7.296178685E8	41.79932581890548
7.373386925E8	35.944994603745364
7.450595165E8	41.779941763503054
7.527803405E8	41.787604318988805
7.605011645E8	40.61311841629029
7.682219885E8	41.731579447299154
7.759428125E8	41.80061219511268
7.836636365E8	41.858396189392174
7.913844605E8	41.55053750358759
7.991052845E8	41.72163458324544
8.068261085E8	40.24753413390574
8.145469325E8	41.81900458398231
8.222677565E8	40.805246732601816
8.299885805E8	40.97971498588007
8.377094045E8	41.809334778160974
8.454302285E8	41.79081346821495
8.531510525E8	41.483477775254165
8.608718765E8	41.71560055092475
8.685927005E8	41.85758031885237
8.76056589E8	38.62629379143358
8.79917001E8	37.93900155673049
8.840343485E8	40.9746317909772
8.917551725E8	41.83983859526685
8.994759965E8	36.962632101229126
9.071968205E8	41.70021751232687
9.149176445E8	39.92666455705958
9.226384685E8	41.76985819540363
9.303592925E8	40.9002223986853
9.380801165E8	41.64926008547497
9.458009405E8	38.96759007451829
9.535217645E8	34.38641153035165
9.612425885E8	41.730446206182684
9.689634125E8	41.64335731591848
9.766842365E8	41.07307759393171
9.844050605E8	41.8617563663092
9.921258845E8	41.73820337248429
9.998467085E8	41.8189585986204
1.0075675325E9	41.85261776473633
1.0152883565E9	41.783240919110405
1.0230091805E9	41.32205170377039
1.0307300045E9	41.78941016978641
1.0384508285E9	41.80544901574632
1.0461716525E9	41.833648017394985
1.0538924765E9	38.74827750352424
1.0594756065E9	39.14813797815276
1.0633360185E9	40.95042758751295
1.0693341245E9	41.56181922237899
1.0770549485E9	41.78731153616271
1.0847757725E9	39.58086911365614
1.0924965965E9	39.8106638215545
1.1002174205E9	41.79095942318964
1.1079382445E9	41.727200956292
1.1156590685E9	39.07814538260336
1.1233798925E9	38.52216714904698
1.1311007165E9	41.75139558919949
1.1388215405E9	41.780372162693446
1.1465423645E9	41.83312412843884
1.1542631885E9	41.850022217612455
1.1619840125E9	41.851848258527184
1.1697048365E9	41.692895753397835
1.1774256605E9	41.77297706845247
1.1851464845E9	41.82600893688633
1.1928673085E9	41.71911957842985
1.2005881325E9	41.82471419406792
1.2083089565E9	41.58456569031712
1.2160297805E9	41.7340740174472
1.2237506045E9	40.65993768645368
1.22980766E9	40.28797958924761
1.233668072E9	41.20608113224889
1.2391922525E9	40.36466558860359
1.2469130765E9	41.859757850882374
1.2546339005E9	41.542924593188594
1.2623547245E9	41.012839037752826
1.2700755485E9	40.39965483007129
1.2777963725E9	40.82364876760894
1.2855171965E9	38.288973778790115
1.2932380205E9	18.95725050336119
1.3009588445E9	36.94432617377508
1.3086796685E9	34.12819723780761
1.3164004925E9	41.82875906982249
1.3241213165E9	41.58234568743408
1.3318421405E9	38.6351548320455
1.3395629645E9	41.75943311561768
1.3472837885E9	41.71172197954625
1.3550046125E9	41.75157826474364
1.3627254365E9	41.121777320450846
1.3704462605E9	41.68143979324207
1.3781670845E9	37.42912753495609
1.3858879085E9	38.915907824409956
1.3905492985E9	41.57684274056231
1.3944097105E9	39.71928308059271
1.4013295565E9	33.51377904708498
1.4090503805E9	41.80825968007963
1.4167712045E9	41.726820614347886
1.4244920285E9	41.73249314089329
1.4322128525E9	41.747635397908056
1.4399336765E9	41.589189276534256
1.4476545005E9	41.56384319624773
1.4553753245E9	41.77702386355037
1.4630961485E9	41.708966483426984
1.4708169725E9	41.77043925524734
1.4785377965E9	37.89870372275507
1.4862586205E9	41.82000096964608
1.4939794445E9	41.81749796206919
1.5017002685E9	41.83298224011785
1.5094210925E9	41.85280408894598
1.5171419165E9	41.80189787589483
1.5248627405E9	41.85600363044598
1.5325835645E9	41.54390014657433
1.5364664445E9	0.0
1.5403268565E9	40.32583430962489
1.5480252125E9	41.79180628966019
1.5557460365E9	41.61989550302178
1.5634668605E9	41.8236477866937
1.5711876845E9	40.63374754264733
1.5789085085E9	9.059515738081307
1.5866293325E9	0.0
1.5943501565E9	6.281193479277846
1.6020709805E9	10.923960897410794
1.6097918045E9	41.68418537900173
1.6175126285E9	41.05389243668824
1.6252334525E9	40.892548674873495
1.6329542765E9	40.07596941935148
1.6406751005E9	41.72253865274042
1.6483959245E9	41.08164715571918
1.6561167485E9	41.78178324744732
1.6638375725E9	41.682369901679756
1.671290807E9	40.8756161470435
1.675151219E9	39.13431578149685
1.6792792205E9	41.637555093129805
1.6870000445E9	41.76747738671226
1.6947208685E9	41.69767756741493
1.7024416925E9	40.571032799350036
1.7101625165E9	38.2591792369697
1.7178833405E9	22.291345017785996
1.7256041645E9	35.978080074410094
1.7333249885E9	41.57582638408473
1.7410458125E9	41.77013467037096
1.7487666365E9	41.40900901515086
1.7564874605E9	39.767442923003706
1.7642082845E9	40.21049841491756
1.7719291085E9	41.67140196091538
1.7796499325E9	41.82966747805386
1.7873707565E9	41.85143128919763
1.7950915805E9	41.58614603388947
1.8028124045E9	41.457728582058714
1.807676934E9	35.5499163034853
1.811537346E9	39.56955905295793
1.8182540525E9	41.706771903799286
1.8259748765E9	41.498905497206316
1.8336957005E9	41.782382876504066
1.8414165245E9	41.817200411338106
1.8491373485E9	41.82489128262832
1.8568581725E9	36.90484721541539
1.8645789965E9	39.37889183012467
1.8722998205E9	41.259305347381954
1.8800206445E9	39.97600087295812
